                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.4312,                 1.1517,                 1.1888,                 0.7546,                0.74869,                0.79044,                0.44887,                 1.3443,                  1.024,                  1.253,              0.0004753,              0.0004753,              0.0004753
                     55,                 1.4205,                 1.1324,                 1.1838,                0.74995,                0.76051,                0.79763,                0.45864,                 1.3363,                 1.0131,                 1.2472,              0.0004654,              0.0004654,              0.0004654
                     56,                 1.4264,                 1.1358,                  1.179,                0.77703,                0.73113,                0.78245,                0.44973,                 1.3458,                 1.0442,                 1.2524,              0.0004555,              0.0004555,              0.0004555
                     57,                 1.4112,                 1.1351,                 1.1828,                 0.7644,                0.71693,                0.78526,                0.45488,                 1.3289,                 1.0164,                 1.2428,              0.0004456,              0.0004456,              0.0004456
                     58,                 1.4232,                 1.1212,                 1.1791,                0.73784,                0.75956,                0.79696,                0.46542,                 1.3252,                 1.0011,                  1.244,              0.0004357,              0.0004357,              0.0004357
                     59,                 1.4154,                 1.1183,                 1.1788,                0.76841,                0.74165,                0.79398,                0.46395,                 1.3265,                  1.001,                 1.2415,              0.0004258,              0.0004258,              0.0004258
                     60,                  1.428,                 1.1301,                 1.1758,                0.73765,                0.74369,                0.78187,                0.44935,                 1.3406,                 1.0286,                 1.2478,              0.0004159,              0.0004159,              0.0004159
                     61,                 1.4228,                  1.114,                 1.1807,                0.73949,                0.74909,                 0.7904,                 0.4557,                 1.3329,                 1.0288,                 1.2466,               0.000406,               0.000406,               0.000406
                     62,                 1.4153,                 1.1198,                 1.1769,                0.77759,                0.74424,                0.80559,                0.47114,                 1.3294,                0.98205,                 1.2419,              0.0003961,              0.0003961,              0.0003961
                     63,                 1.4144,                 1.1049,                 1.1728,                0.74085,                0.77451,                0.80158,                 0.4654,                 1.3227,                0.99052,                 1.2381,              0.0003862,              0.0003862,              0.0003862
                     64,                 1.4134,                 1.1058,                  1.178,                0.76266,                0.75754,                0.80344,                0.47296,                 1.3176,                0.98715,                 1.2354,              0.0003763,              0.0003763,              0.0003763
                     65,                 1.4118,                  1.108,                  1.176,                0.77336,                0.75117,                 0.8139,                0.47003,                 1.3177,                 1.0198,                 1.2364,              0.0003664,              0.0003664,              0.0003664
                     66,                 1.4031,                 1.0789,                 1.1665,                0.76266,                0.75909,                0.80922,                0.47341,                 1.3191,                  0.978,                 1.2352,              0.0003565,              0.0003565,              0.0003565
