                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 1.3438,                0.98652,                 1.1555,                0.80147,                0.81161,                0.85476,                0.50851,                 1.2779,                0.88512,                 1.2451,               0.000505,               0.000505,               0.000505
                     52,                 1.3451,                0.97976,                 1.1605,                0.79649,                 0.8123,                0.85916,                0.50917,                 1.2671,                0.88028,                 1.2428,              0.0004951,              0.0004951,              0.0004951
                     53,                  1.355,                0.99544,                 1.1677,                0.77779,                0.84012,                0.85308,                0.51285,                 1.2893,                0.86754,                 1.2501,              0.0004852,              0.0004852,              0.0004852
                     54,                 1.3402,                0.98223,                 1.1621,                0.81264,                0.78562,                0.85152,                0.50235,                 1.2758,                0.90145,                 1.2442,              0.0004753,              0.0004753,              0.0004753
                     55,                  1.332,                0.96541,                 1.1574,                0.78774,                 0.8077,                0.84179,                 0.5064,                 1.2737,                0.89763,                 1.2425,              0.0004654,              0.0004654,              0.0004654
                     56,                 1.3362,                0.96909,                 1.1534,                0.79657,                0.81519,                 0.8518,                0.50799,                 1.2649,                0.87314,                 1.2385,              0.0004555,              0.0004555,              0.0004555
                     57,                 1.3244,                0.96425,                 1.1559,                0.82812,                0.80961,                0.86838,                0.51642,                 1.2691,                 0.8694,                 1.2381,              0.0004456,              0.0004456,              0.0004456
                     58,                 1.3371,                0.95586,                 1.1521,                 0.8128,                0.81076,                0.86288,                0.51208,                 1.2723,                0.87629,                 1.2403,              0.0004357,              0.0004357,              0.0004357
                     59,                 1.3253,                0.95249,                 1.1495,                0.79569,                0.83307,                0.85458,                0.50813,                 1.2685,                0.86474,                 1.2388,              0.0004258,              0.0004258,              0.0004258
                     60,                 1.3409,                0.96408,                 1.1487,                0.82744,                0.81022,                0.86261,                0.50809,                 1.2743,                0.86046,                 1.2393,              0.0004159,              0.0004159,              0.0004159
                     61,                 1.3322,                 0.9508,                 1.1546,                0.80802,                0.80664,                0.85462,                0.50693,                  1.275,                0.89907,                 1.2408,               0.000406,               0.000406,               0.000406
                     62,                 1.3293,                0.95293,                 1.1507,                 0.8377,                0.79208,                0.85641,                0.50826,                 1.2769,                 0.8608,                 1.2432,              0.0003961,              0.0003961,              0.0003961
                     63,                 1.3234,                0.94552,                 1.1449,                0.81172,                0.83326,                0.86347,                0.51282,                 1.2642,                 0.8656,                 1.2337,              0.0003862,              0.0003862,              0.0003862
                     64,                 1.3308,                0.94569,                 1.1558,                0.84364,                0.80118,                0.86275,                0.51445,                 1.2662,                0.85768,                 1.2361,              0.0003763,              0.0003763,              0.0003763
                     65,                 1.3208,                0.94297,                 1.1471,                0.81257,                0.82273,                0.86555,                0.51765,                 1.2718,                0.85722,                 1.2363,              0.0003664,              0.0003664,              0.0003664
                     66,                  1.317,                0.92074,                 1.1427,                0.83321,                 0.8127,                0.86471,                0.52096,                 1.2588,                0.84332,                 1.2322,              0.0003565,              0.0003565,              0.0003565
                     67,                 1.3212,                 0.9386,                 1.1507,                0.79663,                0.82772,                0.86046,                0.51697,                 1.2636,                0.85724,                 1.2328,              0.0003466,              0.0003466,              0.0003466
                     68,                 1.3142,                0.93086,                 1.1411,                 0.8035,                0.83445,                0.85824,                0.51128,                 1.2557,                0.85689,                 1.2301,              0.0003367,              0.0003367,              0.0003367
                     69,                 1.3217,                0.92866,                 1.1468,                0.83425,                0.80446,                0.86601,                0.51483,                 1.2536,                0.84124,                 1.2293,              0.0003268,              0.0003268,              0.0003268
                     70,                 1.3216,                0.93494,                 1.1446,                0.84689,                0.80938,                0.87364,                0.52365,                 1.2561,                0.85403,                 1.2287,              0.0003169,              0.0003169,              0.0003169
                     71,                 1.3199,                0.92367,                 1.1429,                0.83749,                0.80831,                0.85665,                0.51986,                 1.2525,                0.85298,                 1.2293,               0.000307,               0.000307,               0.000307
