                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.51922,                0.70984,                0.10031,                0.57707,                0.66214,                 0.6361,                0.35992,                0.42348,                0.78379,                0.10383,              0.0004753,              0.0004753,              0.0004753
                     55,                0.52114,                 0.6973,                0.10256,                 0.5672,                0.63681,                0.61623,                0.34514,                 0.4213,                0.77965,                0.10088,              0.0004654,              0.0004654,              0.0004654
                     56,                0.51746,                0.70426,                0.09807,                0.60143,                0.63304,                0.62819,                0.35132,                0.42117,                0.78869,                0.10187,              0.0004555,              0.0004555,              0.0004555
                     57,                0.51146,                0.70238,                0.09885,                0.59091,                0.61622,                 0.6179,                0.35589,                 0.4179,                0.81036,                0.10187,              0.0004456,              0.0004456,              0.0004456
                     58,                0.51466,                0.69574,                0.09773,                0.60638,                0.65196,                0.62663,                0.35789,                0.41558,                0.78535,                 0.0998,              0.0004357,              0.0004357,              0.0004357
                     59,                0.51249,                0.68703,                0.09805,                0.62055,                0.63162,                0.63862,                0.36809,                0.41226,                0.78024,                0.10064,              0.0004258,              0.0004258,              0.0004258
                     60,                0.52115,                0.68519,                0.09901,                0.59305,                0.65736,                0.65014,                0.37038,                0.41696,                0.77851,                0.10145,              0.0004159,              0.0004159,              0.0004159
                     61,                0.51394,                0.68606,                0.09902,                0.60961,                0.63521,                0.64835,                0.36801,                0.41914,                0.77818,                0.10061,               0.000406,               0.000406,               0.000406
                     62,                0.51273,                0.68879,                0.09853,                0.62055,                 0.6627,                0.65375,                0.37385,                0.41412,                0.76575,                0.10105,              0.0003961,              0.0003961,              0.0003961
                     63,                0.51436,                 0.6805,                0.09743,                0.61978,                 0.6451,                0.66099,                0.37862,                0.41226,                0.77805,                  0.101,              0.0003862,              0.0003862,              0.0003862
                     64,                0.51302,                0.68263,                0.09799,                0.58097,                0.63758,                0.63941,                0.36954,                0.40543,                0.79689,                 0.0973,              0.0003763,              0.0003763,              0.0003763
                     65,                0.50927,                0.68022,                0.09734,                0.55817,                0.68022,                0.64013,                0.36731,                0.41113,                0.78761,                0.09965,              0.0003664,              0.0003664,              0.0003664
                     66,                0.50624,                0.67529,                0.09586,                0.60848,                0.69268,                0.67394,                0.38845,                0.40846,                0.75518,                0.09833,              0.0003565,              0.0003565,              0.0003565
                     67,                0.50338,                0.68235,                0.09732,                0.59822,                 0.6796,                0.64805,                0.37375,                0.41217,                 0.7793,                0.09998,              0.0003466,              0.0003466,              0.0003466
                     68,                0.50059,                0.67882,                0.09413,                 0.5961,                0.65214,                0.65565,                0.37897,                0.41067,                0.78077,                0.09897,              0.0003367,              0.0003367,              0.0003367
                     69,                 0.5075,                0.67369,                0.09728,                0.62337,                0.67254,                0.66496,                  0.385,                0.40797,                0.77159,                0.09946,              0.0003268,              0.0003268,              0.0003268
                     70,                0.50805,                 0.6785,                0.09692,                0.58036,                0.69627,                0.67224,                0.38625,                0.40949,                0.75314,                0.09896,              0.0003169,              0.0003169,              0.0003169
                     71,                0.50282,                0.67163,                0.09476,                0.61284,                0.67344,                0.66362,                0.38233,                0.40807,                0.77131,                0.09902,               0.000307,               0.000307,               0.000307
                     72,                 0.5011,                0.67254,                0.09684,                0.62389,                0.64954,                0.66157,                0.38445,                0.40747,                0.77646,                0.09897,              0.0002971,              0.0002971,              0.0002971
                     73,                0.50794,                0.66704,                0.09714,                0.62792,                0.66066,                0.66853,                0.38662,                0.40788,                0.76191,                0.09831,              0.0002872,              0.0002872,              0.0002872
                     74,                0.50173,                0.66583,                0.09403,                0.62541,                0.66887,                0.66844,                 0.3856,                0.40776,                0.76387,                0.09896,              0.0002773,              0.0002773,              0.0002773
                     75,                0.50143,                0.66552,                 0.0954,                0.62598,                0.66258,                0.67793,                0.39351,                 0.4069,                0.75649,                0.09797,              0.0002674,              0.0002674,              0.0002674
                     76,                0.49742,                0.67169,                  0.094,                0.60204,                0.70607,                0.67311,                0.39036,                0.40634,                0.75621,                0.09726,              0.0002575,              0.0002575,              0.0002575
                     77,                0.49935,                0.67044,                0.09554,                0.61906,                0.66943,                0.66485,                0.38756,                0.40877,                0.75241,                0.09855,              0.0002476,              0.0002476,              0.0002476
                     78,                0.49982,                0.66252,                0.09378,                0.61617,                0.68161,                0.67069,                0.38881,                0.40674,                0.76127,                0.09783,              0.0002377,              0.0002377,              0.0002377
                     79,                0.49615,                0.66496,                0.09408,                0.65071,                0.66843,                0.68936,                0.39833,                0.40321,                0.75311,                 0.0966,              0.0002278,              0.0002278,              0.0002278
                     80,                0.49359,                0.66477,                0.09417,                0.62338,                0.66889,                  0.679,                0.39044,                0.40574,                0.75379,                0.09868,              0.0002179,              0.0002179,              0.0002179
                     81,                0.49677,                 0.6613,                0.09439,                0.64097,                0.66864,                0.67353,                 0.3909,                 0.4062,                0.76161,                0.09755,               0.000208,               0.000208,               0.000208
