                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 1.3389,                0.95904,                 1.1625,                0.78986,                0.84426,                0.85612,                0.51734,                 1.2682,                 0.8681,                 1.2423,              0.0003466,              0.0003466,              0.0003466
                     68,                 1.3336,                0.95101,                 1.1541,                0.79709,                 0.8268,                 0.8542,                0.51726,                 1.2699,                0.86355,                 1.2444,              0.0003367,              0.0003367,              0.0003367
                     69,                 1.3385,                0.94914,                 1.1568,                0.80103,                0.82158,                0.85267,                0.51517,                 1.2647,                0.84272,                 1.2434,              0.0003268,              0.0003268,              0.0003268
                     70,                  1.336,                0.95592,                 1.1511,                0.80244,                0.83958,                0.85783,                0.51865,                 1.2588,                0.85814,                 1.2355,              0.0003169,              0.0003169,              0.0003169
                     71,                 1.3387,                0.94734,                 1.1518,                0.82137,                 0.8131,                0.85859,                0.51934,                 1.2645,                0.85024,                 1.2403,               0.000307,               0.000307,               0.000307
                     72,                 1.3338,                0.94946,                 1.1619,                0.82719,                0.82524,                0.86115,                0.52525,                 1.2616,                0.84556,                 1.2441,              0.0002971,              0.0002971,              0.0002971
                     73,                 1.3428,                 0.9407,                 1.1608,                0.78519,                0.82893,                0.85315,                0.51503,                 1.2624,                0.85838,                 1.2399,              0.0002872,              0.0002872,              0.0002872
                     74,                 1.3344,                0.93658,                 1.1442,                0.82262,                  0.834,                0.86208,                0.52298,                 1.2635,                0.83938,                 1.2418,              0.0002773,              0.0002773,              0.0002773
                     75,                 1.3234,                0.93157,                  1.148,                0.82381,                0.83927,                0.86365,                0.52265,                 1.2608,                0.83879,                 1.2405,              0.0002674,              0.0002674,              0.0002674
                     76,                 1.3277,                0.93011,                 1.1524,                0.82669,                0.82476,                0.86427,                0.52331,                 1.2596,                0.83945,                   1.24,              0.0002575,              0.0002575,              0.0002575
                     77,                 1.3296,                 0.9357,                 1.1565,                0.82657,                0.83248,                0.86552,                0.52378,                 1.2621,                0.83588,                 1.2428,              0.0002476,              0.0002476,              0.0002476
                     78,                 1.3317,                0.93399,                 1.1478,                0.82039,                 0.8254,                0.86329,                0.52416,                 1.2638,                0.83274,                 1.2418,              0.0002377,              0.0002377,              0.0002377
                     79,                  1.317,                0.92648,                  1.149,                0.82047,                0.83571,                0.86135,                0.52324,                 1.2583,                0.84792,                 1.2383,              0.0002278,              0.0002278,              0.0002278
                     80,                 1.3185,                0.92369,                 1.1462,                0.82663,                0.82861,                 0.8597,                0.52174,                 1.2644,                0.83811,                 1.2431,              0.0002179,              0.0002179,              0.0002179
                     81,                 1.3336,                0.92773,                  1.149,                0.80217,                0.84884,                 0.8631,                0.52346,                 1.2599,                 0.8345,                 1.2409,               0.000208,               0.000208,               0.000208
                     82,                 1.3196,                0.92168,                 1.1494,                0.83313,                0.83333,                0.86515,                0.52372,                 1.2601,                0.81853,                 1.2423,              0.0001981,              0.0001981,              0.0001981
                     83,                 1.3262,                0.91747,                 1.1497,                0.82493,                0.83823,                0.86397,                0.52377,                 1.2588,                0.82353,                 1.2381,              0.0001882,              0.0001882,              0.0001882
                     84,                 1.3259,                 0.9256,                 1.1461,                0.82316,                0.83768,                0.86263,                0.52712,                  1.254,                0.83079,                 1.2389,              0.0001783,              0.0001783,              0.0001783
                     85,                 1.3211,                0.91018,                 1.1398,                 0.8341,                0.82957,                0.86759,                0.53111,                 1.2544,                 0.8154,                 1.2392,              0.0001684,              0.0001684,              0.0001684
                     86,                 1.3182,                  0.922,                 1.1542,                0.83007,                0.83621,                0.86459,                0.52939,                 1.2554,                0.82028,                 1.2378,              0.0001585,              0.0001585,              0.0001585
                     87,                  1.319,                0.92368,                 1.1484,                0.82298,                0.83533,                 0.8683,                0.52641,                 1.2588,                0.82044,                 1.2384,              0.0001486,              0.0001486,              0.0001486
                     88,                  1.314,                0.91592,                  1.145,                0.82459,                0.83768,                0.86742,                0.52862,                 1.2556,                0.81942,                 1.2394,              0.0001387,              0.0001387,              0.0001387
                     89,                   1.31,                0.89892,                 1.1459,                0.82958,                0.84616,                0.86805,                0.52537,                  1.257,                0.82327,                 1.2409,              0.0001288,              0.0001288,              0.0001288
                     90,                 1.3029,                0.89624,                 1.1387,                0.82918,                0.83798,                0.86339,                0.52666,                 1.2593,                0.81966,                 1.2412,              0.0001189,              0.0001189,              0.0001189
                     91,                 1.2808,                 0.9367,                 1.1886,                0.79065,                0.86047,                0.86645,                0.52647,                 1.2573,                0.82036,                 1.2413,               0.000109,               0.000109,               0.000109
                     92,                 1.2717,                0.92277,                 1.1858,                0.81596,                0.84002,                0.86481,                0.53045,                 1.2541,                0.81569,                 1.2398,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                  1.276,                0.92172,                 1.1939,                 0.8099,                0.84431,                0.86686,                0.53004,                 1.2525,                0.82056,                 1.2387,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                 1.2795,                0.91149,                 1.1856,                0.82762,                0.84118,                0.86805,                0.52908,                 1.2565,                0.82194,                 1.2389,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                 1.2756,                 0.9206,                 1.1876,                0.81372,                0.84572,                 0.8712,                0.53041,                 1.2504,                0.81823,                 1.2367,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                 1.2731,                0.91451,                 1.1888,                0.81231,                0.84687,                0.86686,                0.52995,                 1.2544,                0.82267,                 1.2366,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                 1.2676,                0.89838,                 1.1796,                  0.821,                0.83736,                0.86943,                0.52969,                 1.2539,                0.81688,                 1.2391,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                  1.268,                0.91106,                 1.1876,                0.82146,                0.84034,                0.87105,                 0.5308,                  1.251,                0.81507,                 1.2378,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                 1.2746,                0.90835,                 1.1851,                0.81653,                0.83962,                0.87163,                0.53089,                 1.2509,                0.81542,                 1.2381,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                 1.2673,                0.90834,                  1.193,                0.81472,                0.83805,                0.87059,                0.53147,                 1.2524,                0.81602,                 1.2396,               1.99e-05,               1.99e-05,               1.99e-05
