               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  56,              1.2665,             0.74157,              1.0532,             0.87194,             0.85967,             0.91015,             0.57822,              1.1801,             0.63349,              1.1467,            0.004555,            0.004555,            0.004555
                  57,              1.2714,              0.7353,              1.0567,             0.85538,             0.84301,             0.90686,             0.58703,              1.1708,             0.63921,              1.1444,            0.004456,            0.004456,            0.004456
                  58,                1.27,             0.74821,              1.0624,              0.8439,             0.87953,             0.91081,             0.57431,              1.1729,             0.63917,              1.1461,            0.004357,            0.004357,            0.004357
                  59,              1.2603,             0.72871,               1.056,             0.85749,             0.86369,             0.90652,             0.59189,              1.1504,             0.61482,              1.1383,            0.004258,            0.004258,            0.004258
                  60,              1.2661,             0.73197,              1.0596,             0.86478,              0.8509,             0.90879,             0.58802,              1.1706,             0.61149,              1.1399,            0.004159,            0.004159,            0.004159
                  61,              1.2546,             0.73181,              1.0539,             0.82936,             0.89164,             0.90434,             0.58091,              1.1692,             0.63176,              1.1345,             0.00406,             0.00406,             0.00406
                  62,              1.2543,             0.72374,              1.0588,             0.85261,             0.86326,             0.90437,             0.58163,              1.1579,             0.62609,              1.1381,            0.003961,            0.003961,            0.003961
                  63,              1.2603,             0.72498,              1.0522,             0.84006,             0.89211,             0.91654,             0.58642,              1.1659,              0.6208,              1.1398,            0.003862,            0.003862,            0.003862
                  64,              1.2386,             0.70523,              1.0453,              0.8344,             0.86262,             0.89287,             0.58016,              1.1665,             0.63544,              1.1384,            0.003763,            0.003763,            0.003763
                  65,              1.2496,             0.71862,              1.0558,              0.8208,             0.88876,              0.9056,             0.58331,              1.1597,              0.6249,              1.1421,            0.003664,            0.003664,            0.003664
                  66,              1.2399,             0.70504,              1.0493,             0.84431,             0.86976,             0.90195,              0.5808,              1.1761,             0.62216,              1.1533,            0.003565,            0.003565,            0.003565
                  67,              1.2468,             0.70689,              1.0461,             0.86958,             0.84982,             0.91725,              0.5879,              1.1621,             0.61698,              1.1361,            0.003466,            0.003466,            0.003466
                  68,               1.247,             0.71158,              1.0449,             0.85785,             0.85496,             0.91184,             0.58971,               1.156,              0.6083,              1.1337,            0.003367,            0.003367,            0.003367
                  69,              1.2446,             0.70129,              1.0414,             0.84995,             0.86433,             0.90555,             0.59147,              1.1436,             0.60913,              1.1305,            0.003268,            0.003268,            0.003268
                  70,               1.234,             0.70256,              1.0464,             0.84074,             0.88824,             0.91988,             0.59523,              1.1501,             0.60879,              1.1379,            0.003169,            0.003169,            0.003169
                  71,              1.2378,             0.69425,              1.0512,             0.85338,             0.86887,             0.92037,              0.6015,              1.1557,             0.61003,              1.1344,             0.00307,             0.00307,             0.00307
                  72,              1.2228,             0.69616,              1.0407,             0.83874,             0.87299,                 0.9,             0.58877,              1.1559,             0.60572,              1.1358,            0.002971,            0.002971,            0.002971
                  73,              1.2272,             0.68881,              1.0421,             0.83507,             0.89121,             0.91775,             0.59772,              1.1462,             0.59322,              1.1339,            0.002872,            0.002872,            0.002872
                  74,              1.2164,             0.68677,              1.0446,             0.86683,             0.86076,             0.91382,             0.59475,              1.1388,             0.60418,              1.1272,            0.002773,            0.002773,            0.002773
                  75,              1.2133,             0.67551,              1.0371,             0.87857,              0.8656,             0.92381,             0.60244,               1.145,             0.60218,              1.1351,            0.002674,            0.002674,            0.002674
                  76,              1.2077,             0.67258,              1.0374,             0.89152,              0.8415,             0.91617,             0.59651,              1.1407,             0.59833,              1.1275,            0.002575,            0.002575,            0.002575
                  77,              1.2145,             0.67505,              1.0349,              0.8529,             0.87702,             0.91783,             0.59707,              1.1433,             0.60029,               1.129,            0.002476,            0.002476,            0.002476
                  78,              1.2126,             0.67324,              1.0312,             0.85907,             0.87444,             0.91269,             0.59674,              1.1401,             0.60795,              1.1343,            0.002377,            0.002377,            0.002377
                  79,              1.2018,             0.66249,              1.0345,             0.86821,             0.86593,             0.91422,             0.59624,              1.1501,             0.60542,              1.1406,            0.002278,            0.002278,            0.002278
                  80,              1.2063,             0.67031,              1.0356,             0.87057,             0.87988,             0.91927,             0.60049,               1.142,             0.59964,              1.1342,            0.002179,            0.002179,            0.002179
                  81,               1.198,             0.66431,              1.0366,             0.85443,             0.89077,             0.91708,             0.60078,              1.1383,             0.59835,              1.1309,             0.00208,             0.00208,             0.00208
                  82,              1.1963,             0.64849,              1.0311,             0.85713,             0.86842,             0.91039,             0.59946,              1.1427,             0.59375,               1.135,            0.001981,            0.001981,            0.001981
                  83,              1.1967,             0.65447,              1.0374,             0.85915,             0.88359,               0.923,             0.59781,              1.1473,              0.6019,               1.141,            0.001882,            0.001882,            0.001882
                  84,              1.1886,             0.65823,              1.0334,             0.83489,             0.88293,             0.91061,             0.59548,              1.1417,             0.60101,              1.1387,            0.001783,            0.001783,            0.001783
                  85,              1.1789,             0.63965,              1.0264,             0.85286,             0.89188,             0.92114,             0.60199,              1.1429,             0.60016,              1.1403,            0.001684,            0.001684,            0.001684
                  86,              1.1825,             0.64659,              1.0306,             0.84678,             0.89104,             0.92195,              0.6041,              1.1448,             0.58936,              1.1394,            0.001585,            0.001585,            0.001585
                  87,              1.1808,             0.64028,              1.0293,             0.85197,             0.89903,             0.92588,             0.60446,              1.1362,             0.58812,              1.1379,            0.001486,            0.001486,            0.001486
                  88,              1.1778,             0.63735,              1.0315,             0.86867,             0.87802,              0.9234,             0.60609,              1.1361,             0.58896,              1.1342,            0.001387,            0.001387,            0.001387
                  89,               1.182,             0.63683,              1.0216,              0.8826,              0.8704,             0.92372,             0.60251,              1.1389,              0.5882,              1.1386,            0.001288,            0.001288,            0.001288
                  90,              1.1778,             0.62739,              1.0207,             0.87466,             0.86444,             0.92218,             0.60234,              1.1406,             0.58865,              1.1367,            0.001189,            0.001189,            0.001189
                  91,              1.1703,             0.62373,              1.0177,             0.86642,             0.87803,             0.92147,             0.60288,              1.1454,             0.59133,              1.1381,             0.00109,             0.00109,             0.00109
                  92,              1.1718,             0.61999,              1.0169,             0.84171,              0.8962,             0.91869,             0.60278,              1.1415,             0.59169,              1.1367,            0.000991,            0.000991,            0.000991
                  93,              1.1693,              0.6282,              1.0272,             0.86081,             0.87864,             0.92229,             0.60001,              1.1412,             0.58471,              1.1377,            0.000892,            0.000892,            0.000892
                  94,              1.1609,             0.62125,               1.017,             0.85102,             0.88444,             0.92094,             0.60396,              1.1461,             0.58025,              1.1417,            0.000793,            0.000793,            0.000793
                  95,               1.151,             0.60989,              1.0208,             0.85204,             0.87657,             0.91264,             0.60124,              1.1469,              0.5895,               1.146,            0.000694,            0.000694,            0.000694
                  96,              1.1545,             0.61212,              1.0169,             0.83133,             0.89168,             0.91545,              0.6042,               1.146,             0.59103,              1.1417,            0.000595,            0.000595,            0.000595
                  97,               1.151,             0.60588,              1.0157,             0.83047,             0.90888,             0.91562,             0.60251,               1.145,              0.5909,              1.1399,            0.000496,            0.000496,            0.000496
                  98,              1.1582,             0.61683,              1.0117,             0.83217,             0.90558,             0.91735,              0.6027,              1.1438,              0.5919,              1.1389,            0.000397,            0.000397,            0.000397
                  99,              1.1481,             0.59872,              1.0197,             0.83102,             0.90546,             0.91864,             0.60405,               1.143,             0.58785,              1.1383,            0.000298,            0.000298,            0.000298
