               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  75,              1.2135,             0.68306,              1.0273,             0.83902,             0.88236,             0.91682,             0.59358,              1.1532,             0.61695,              1.1207,            0.002674,            0.002674,            0.002674
                  76,               1.212,             0.67483,              1.0275,             0.81843,             0.89705,             0.91374,              0.5956,              1.1458,             0.61714,              1.1123,            0.002575,            0.002575,            0.002575
                  77,              1.2165,             0.68371,              1.0255,             0.84906,             0.87353,             0.91761,             0.60052,              1.1418,             0.62067,              1.1097,            0.002476,            0.002476,            0.002476
                  78,              1.2173,             0.67721,              1.0226,             0.83796,             0.88742,             0.91791,             0.60338,              1.1415,             0.61311,               1.109,            0.002377,            0.002377,            0.002377
                  79,              1.2048,             0.66636,              1.0242,             0.85715,             0.86998,             0.92349,             0.60286,              1.1363,             0.60337,               1.108,            0.002278,            0.002278,            0.002278
                  80,              1.2132,             0.67629,              1.0275,             0.84429,             0.88081,             0.91343,             0.60062,              1.1332,             0.61523,              1.1101,            0.002179,            0.002179,            0.002179
                  81,              1.2006,             0.66912,              1.0264,             0.84567,             0.86504,             0.90965,             0.59645,              1.1387,              0.6171,              1.1128,             0.00208,             0.00208,             0.00208
                  82,              1.1982,             0.65606,              1.0212,             0.84264,             0.86755,              0.9099,             0.59591,              1.1459,             0.61495,              1.1182,            0.001981,            0.001981,            0.001981
                  83,              1.1989,             0.65756,              1.0252,             0.83917,             0.88009,             0.91356,             0.59519,              1.1482,             0.60659,               1.122,            0.001882,            0.001882,            0.001882
                  84,                1.19,              0.6663,              1.0204,             0.86275,             0.85254,             0.90863,             0.59767,              1.1437,             0.61063,              1.1164,            0.001783,            0.001783,            0.001783
                  85,              1.1842,             0.65248,              1.0155,             0.84957,             0.86688,             0.90436,             0.59521,              1.1396,             0.61082,              1.1123,            0.001684,            0.001684,            0.001684
                  86,              1.1871,             0.65443,              1.0191,             0.83469,             0.88306,             0.91047,             0.60327,              1.1359,             0.60695,              1.1117,            0.001585,            0.001585,            0.001585
                  87,              1.1843,             0.64927,              1.0204,             0.83904,             0.90255,               0.918,             0.60257,              1.1288,             0.59791,              1.1141,            0.001486,            0.001486,            0.001486
                  88,              1.1845,             0.64656,              1.0232,             0.85327,             0.87247,             0.91518,             0.59552,               1.142,             0.59903,              1.1182,            0.001387,            0.001387,            0.001387
                  89,              1.1855,             0.64496,              1.0132,             0.83299,             0.88491,             0.91211,             0.60199,              1.1356,             0.60453,              1.1124,            0.001288,            0.001288,            0.001288
                  90,              1.1792,             0.63277,              1.0108,              0.8471,             0.86819,             0.90826,             0.59803,              1.1362,             0.60636,              1.1172,            0.001189,            0.001189,            0.001189
                  91,               1.177,             0.63229,              1.0097,             0.83134,             0.88651,              0.9056,             0.59492,               1.137,             0.60273,              1.1148,             0.00109,             0.00109,             0.00109
                  92,              1.1764,             0.63004,              1.0075,             0.84579,             0.88041,             0.91248,             0.60042,              1.1375,             0.60324,               1.115,            0.000991,            0.000991,            0.000991
                  93,              1.1751,             0.63563,              1.0177,             0.85056,             0.88926,             0.91535,             0.59922,              1.1399,             0.60046,              1.1176,            0.000892,            0.000892,            0.000892
                  94,              1.1636,             0.63186,              1.0072,              0.8418,             0.88115,             0.90784,              0.5962,              1.1415,             0.60543,              1.1178,            0.000793,            0.000793,            0.000793
                  95,              1.1576,             0.61796,              1.0122,             0.83556,             0.88152,             0.90967,             0.59369,              1.1428,             0.60973,              1.1172,            0.000694,            0.000694,            0.000694
                  96,              1.1587,             0.62012,              1.0077,             0.84165,             0.88755,             0.91329,             0.59955,              1.1373,              0.6041,              1.1127,            0.000595,            0.000595,            0.000595
                  97,               1.155,             0.61368,              1.0075,             0.84156,             0.87885,             0.90841,              0.5973,              1.1447,             0.60861,              1.1149,            0.000496,            0.000496,            0.000496
                  98,              1.1651,             0.62585,              1.0034,             0.84759,             0.87034,              0.9136,             0.59664,                1.14,             0.61087,              1.1141,            0.000397,            0.000397,            0.000397
                  99,              1.1521,             0.61071,               1.009,             0.83906,             0.89022,             0.91119,             0.59724,              1.1395,             0.61189,               1.114,            0.000298,            0.000298,            0.000298
